Latitude (deg.): 52.251
Longitude (deg.): -0.765

A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)
-180.0		1.1		-180.0		0.0		-180.0		0.0
-172.5		1.1		-165.9		0.0		-172.9		0.0
-165.0		1.1		-152.5		0.0		-165.9		0.0
-157.5		1.1		-140.5		0.0		-159.0		0.0
-150.0		1.1		-130.0		0.0		-152.2		0.0
-142.5		1.1		-120.7		0.0		-145.7		0.0
-135.0		1.1		-112.5		0.0		-139.4		0.0
-127.5		0.8		-105.2		0.0		-133.3		0.0
-120.0		0.4		-98.5		0.0		-127.3		1.9
-112.5		0.4		-92.3		0.0		-121.6		5.7
-105.0		0.4		-86.4		0.0		-116.0		9.7
-97.5		0.4		-80.7		0.0		-110.4		14.0
-90.0		0.4		-75.1		0.0		-104.9		18.3
-82.5		0.4		-69.6		0.0		-99.3		22.8
-75.0		0.4		-64.0		0.0		-93.6		27.4
-67.5		0.4		-58.4		0.0		-87.7		32.0
-60.0		0.8		-52.7		0.0		-81.5		36.5
-52.5		0.8		-46.7		1.6		-74.8		41.0
-45.0		1.1		-40.6		4.7		-67.5		45.4
-37.5		1.1		-34.3		7.5		-59.3		49.5
-30.0		1.1		-27.8		9.9		-50.0		53.2
-22.5		1.1		-21.0		11.8		-39.5		56.5
-15.0		1.1		-14.1		13.2		-27.5		59.0
-7.5		1.1		-7.1		14.0		-14.1		60.6
0.0		1.1		0.0		14.3		0.0		61.2
7.5		1.5		7.1		14.0		14.1		60.6
15.0		1.5		14.1		13.2		27.5		59.0
22.5		1.1		21.0		11.8		39.5		56.5
30.0		1.1		27.8		9.9		50.0		53.2
37.5		1.1		34.3		7.5		59.3		49.5
45.0		1.1		40.6		4.7		67.5		45.4
52.5		1.1		46.7		1.6		74.8		41.0
60.0		0.8		52.7		0.0		81.5		36.5
67.5		0.4		58.4		0.0		87.7		32.0
75.0		0.4		64.0		0.0		93.6		27.4
82.5		0.4		69.6		0.0		99.3		22.8
90.0		0.4		75.1		0.0		104.9		18.3
97.5		0.8		80.7		0.0		110.4		14.0
105.0		0.8		86.4		0.0		116.0		9.7
112.5		0.8		92.3		0.0		121.6		5.7
120.0		0.8		98.5		0.0		127.3		1.9
127.5		0.8		105.2		0.0		133.3		0.0
135.0		1.1		112.5		0.0		139.4		0.0
142.5		1.5		120.7		0.0		145.7		0.0
150.0		1.5		130.0		0.0		152.2		0.0
157.5		1.1		140.5		0.0		159.0		0.0
165.0		0.8		152.5		0.0		165.9		0.0
172.5		0.8		165.9		0.0		172.9		0.0
180.0		1.1		180.0		0.0		180.0		0.0

A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)

PVGIS (c) European Union, 2001-2023
